pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	online	bpq	npf	offline	3	1.2205 ± 0.0399
randomE	false	bpq	ob	online	0	1.2205 ± 0.0319
randomE	false	bpq	npf	blank	2	1.2206 ± 0.0565
randomE	false	bpq	npf	online	3	1.2206 ± 0.0610
randomE	online	bpq	hybrid	online	3	1.2208 ± 0.0696
mix_gen	offline	bpq	ob	offline	0	1.2211 ± 0.0436
randomE	false	bpq	ob	offline	0	1.2211 ± 0.0340
mix_all	online	bpq	npf	blank	2	1.2211 ± 0.0394
mix_all	false	bpq	ob	offline	2	1.2215 ± 0.0623
randomE	offline	bpq	hybrid	offline	3	1.2215 ± 0.0572
mix_all	blank	bpq	dedup	offline	1	1.2221 ± 0.0478
randomE	blank	bpq	dedup	blank	1	1.2222 ± 0.0567
mix_all	online	bpq	npf	blank	3	1.2223 ± 0.0598
mix_all	online	bpq	false	false	0	1.2223 ± 0.0592
mix_gen	false	bpq	npf	online	0	1.2223 ± 0.0383
mix_all	false	bpq	dedup	online	3	1.2223 ± 0.0732
mix_all	blank	bpq	dedup	offline	0	1.2227 ± 0.0441
mix_gen	false	bpq	hybrid	online	1	1.2229 ± 0.0438
mix_gen	offline	bpq	ob	online	1	1.2229 ± 0.0825
randomE	blank	bpq	ob	blank	3	1.2230 ± 0.0248
mix_gen	false	bpq	npf	offline	1	1.2230 ± 0.0377
mix_gen	blank	bpq	dedup	offline	2	1.2231 ± 0.0536
mix_all	blank	bpq	dedup	offline	2	1.2234 ± 0.0529
mix_gen	false	bpq	dedup	blank	1	1.2234 ± 0.0501
randomE	offline	bpq	ob	blank	2	1.2236 ± 0.0542
mix_gen	online	bpq	dedup	offline	2	1.2238 ± 0.0628
mix_gen	blank	bpq	dedup	online	0	1.2240 ± 0.0513
randomE	false	bpq	npf	online	0	1.2240 ± 0.0420
mix_all	online	bpq	dedup	blank	2	1.2242 ± 0.0219
mix_gen	online	bpq	hybrid	offline	3	1.2244 ± 0.0560
randomE	false	bpq	npf	offline	1	1.2246 ± 0.0478
mix_all	offline	bpq	ob	online	1	1.2248 ± 0.0551
randomE	offline	bpq	hybrid	online	1	1.2248 ± 0.0344
randomE	blank	bpq	ob	offline	3	1.2257 ± 0.0336
mix_gen	offline	bpq	npf	offline	0	1.2257 ± 0.0487
mix_gen	online	bpq	ob	offline	2	1.2258 ± 0.1029
mix_gen	blank	bpq	hybrid	blank	3	1.2258 ± 0.0744
mix_gen	offline	bpq	hybrid	online	2	1.2260 ± 0.0707
mix_all	false	bpq	dedup	online	1	1.2260 ± 0.0466
randomE	offline	bpq	ob	offline	0	1.2263 ± 0.0474
mix_gen	online	bpq	hybrid	online	1	1.2265 ± 0.0531
mix_gen	blank	bpq	dedup	offline	1	1.2267 ± 0.0643
randomE	blank	bpq	ob	online	0	1.2269 ± 0.0357
randomE	online	bpq	npf	online	0	1.2269 ± 0.0543
