pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_gen	online	bpq	hybrid	blank	3	1.0819 ± 0.0307
mix_gen	false	bpq	hybrid	online	3	1.0823 ± 0.0408
mix_all	false	bpq	npf	offline	3	1.0850 ± 0.0652
mix_gen	false	bpq	dedup	online	2	1.0850 ± 0.0449
mix_gen	false	bpq	ob	offline	2	1.0853 ± 0.0409
mix_gen	online	bpq	hybrid	blank	2	1.0856 ± 0.0391
mix_all	false	bpq	hybrid	online	2	1.0882 ± 0.0484
mix_gen	online	bpq	hybrid	offline	2	1.0889 ± 0.0424
mix_gen	online	bpq	ob	offline	2	1.0899 ± 0.0615
mix_gen	false	bpq	ob	online	3	1.0902 ± 0.0644
mix_all	false	bpq	ob	blank	2	1.0903 ± 0.0392
mix_all	online	bpq	hybrid	online	2	1.0905 ± 0.0449
randomH	online	bpq	hybrid	offline	3	1.0908 ± 0.0317
mix_all	false	bpq	ob	offline	3	1.0912 ± 0.0649
mix_gen	online	bpq	ob	offline	3	1.0913 ± 0.0531
randomH	online	bpq	hybrid	blank	2	1.0920 ± 0.0508
randomH	false	bpq	dedup	offline	2	1.0922 ± 0.0331
randomH	online	bpq	ob	blank	2	1.0934 ± 0.0309
mix_gen	false	bpq	hybrid	offline	3	1.0948 ± 0.0844
mix_all	online	bpq	npf	online	2	1.0949 ± 0.0414
mix_all	false	bpq	npf	blank	2	1.0952 ± 0.0752
mix_gen	online	bpq	hybrid	online	2	1.0953 ± 0.0471
randomH	online	bpq	hybrid	blank	3	1.0959 ± 0.0555
mix_gen	online	bpq	dedup	online	2	1.0960 ± 0.0473
mix_all	false	bpq	ob	online	3	1.0972 ± 0.0985
mix_all	online	bpq	npf	online	3	1.0977 ± 0.0617
randomH	online	bpq	ob	online	2	1.0978 ± 0.0355
randomH	false	bpq	hybrid	offline	3	1.0983 ± 0.0916
mix_all	false	bpq	dedup	offline	2	1.0989 ± 0.0514
mix_gen	false	bpq	dedup	online	3	1.0991 ± 0.0839
mix_all	online	bpq	ob	blank	2	1.0999 ± 0.0700
mix_gen	online	bpq	ob	blank	2	1.1001 ± 0.0552
mix_gen	online	bpq	npf	offline	3	1.1019 ± 0.0423
mix_all	online	bpq	npf	offline	3	1.1024 ± 0.0498
mix_gen	online	bpq	dedup	blank	3	1.1025 ± 0.0312
mix_all	false	bpq	hybrid	blank	2	1.1033 ± 0.0651
randomH	online	bpq	hybrid	online	3	1.1034 ± 0.0679
mix_all	online	bpq	hybrid	online	3	1.1035 ± 0.0599
mix_gen	online	bpq	npf	blank	2	1.1037 ± 0.0579
mix_gen	online	bpq	hybrid	offline	3	1.1038 ± 0.0367
mix_gen	online	bpq	dedup	online	3	1.1040 ± 0.0423
randomH	false	bpq	ob	blank	3	1.1042 ± 0.0947
mix_all	online	bpq	npf	blank	2	1.1044 ± 0.0476
mix_gen	online	bpq	ob	online	3	1.1044 ± 0.0785
randomH	online	bpq	dedup	offline	3	1.1048 ± 0.0345
mix_all	online	bpq	npf	blank	3	1.1051 ± 0.0465
mix_gen	online	bpq	npf	offline	2	1.1052 ± 0.0335
randomH	false	bpq	ob	offline	2	1.1056 ± 0.0572
mix_gen	online	bpq	dedup	offline	3	1.1057 ± 0.0495
mix_all	online	bpq	ob	offline	2	1.1072 ± 0.0657
mix_gen	online	bpq	false	false	0	1.1074 ± 0.0266
randomH	online	bpq	hybrid	offline	2	1.1077 ± 0.0370
mix_gen	false	bpq	hybrid	blank	3	1.1080 ± 0.1119
randomH	false	bpq	hybrid	offline	2	1.1083 ± 0.1322
randomH	online	bpq	hybrid	online	2	1.1088 ± 0.0624
randomH	online	bpq	ob	offline	2	1.1089 ± 0.0607
mix_all	online	bpq	false	false	0	1.1097 ± 0.0377
mix_all	online	bpq	ob	offline	3	1.1103 ± 0.0587
mix_all	online	bpq	ob	online	3	1.1104 ± 0.0622
mix_all	online	bpq	dedup	online	3	1.1107 ± 0.0290
mix_gen	online	bpq	npf	online	3	1.1108 ± 0.0429
randomH	online	bpq	dedup	online	3	1.1108 ± 0.0496
mix_all	online	bpq	hybrid	offline	3	1.1116 ± 0.0756
mix_gen	online	bpq	npf	online	2	1.1116 ± 0.0515
randomH	online	bpq	ob	blank	3	1.1117 ± 0.0389
randomH	online	bpq	dedup	offline	2	1.1121 ± 0.0455
mix_gen	online	bpq	ob	blank	3	1.1124 ± 0.0913
randomH	false	bpq	dedup	blank	2	1.1132 ± 0.0681
randomH	online	bpq	npf	blank	3	1.1144 ± 0.0628
mix_all	online	bpq	dedup	offline	3	1.1150 ± 0.0296
randomH	online	bpq	ob	online	3	1.1155 ± 0.0661
randomH	online	bpq	ob	offline	3	1.1163 ± 0.0580
mix_gen	false	bpq	ob	blank	2	1.1170 ± 0.1086
mix_gen	online	bpq	ob	online	2	1.1174 ± 0.0916
mix_gen	false	bpq	hybrid	blank	2	1.1175 ± 0.0983
mix_gen	online	bpq	hybrid	online	3	1.1179 ± 0.0836
mix_all	online	bpq	dedup	online	2	1.1188 ± 0.0339
randomH	online	bpq	dedup	blank	2	1.1188 ± 0.0306
mix_gen	online	bpq	dedup	offline	2	1.1206 ± 0.0523
mix_all	online	bpq	dedup	blank	3	1.1217 ± 0.0451
mix_all	online	bpq	dedup	offline	2	1.1244 ± 0.0306
randomH	online	bpq	dedup	blank	3	1.1258 ± 0.0208
