pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
randomT	false	bpq	hybrid	online	1	1.6873 ± 0.0754
randomT	false	bpq	npf	online	1	1.6881 ± 0.1307
mix_all	false	bpq	hybrid	offline	1	1.6914 ± 0.0970
randomT	false	bpq	dedup	blank	1	1.6924 ± 0.1179
mix_all	false	bpq	npf	offline	0	1.6957 ± 0.1151
mix_gen	false	bpq	hybrid	blank	1	1.6960 ± 0.0747
mix_gen	false	bpq	npf	blank	0	1.6980 ± 0.0911
mix_all	online	bpq	dedup	offline	1	1.6995 ± 0.0905
mix_all	false	bpq	hybrid	blank	1	1.6999 ± 0.1132
mix_gen	false	bpq	npf	offline	0	1.7002 ± 0.0946
mix_all	online	bpq	npf	online	1	1.7006 ± 0.1132
randomT	online	bpq	hybrid	online	1	1.7017 ± 0.0795
mix_all	false	bpq	npf	online	0	1.7028 ± 0.0974
mix_gen	online	bpq	npf	blank	1	1.7068 ± 0.1071
mix_all	online	bpq	ob	offline	1	1.7078 ± 0.0438
mix_all	online	bpq	npf	offline	0	1.7103 ± 0.1139
mix_all	online	bpq	dedup	online	3	1.7116 ± 0.3588
mix_all	online	bpq	npf	online	0	1.7156 ± 0.0622
randomT	online	bpq	npf	offline	0	1.7183 ± 0.0920
mix_all	online	bpq	dedup	blank	1	1.7188 ± 0.1215
mix_gen	online	bpq	dedup	online	1	1.7205 ± 0.0809
mix_gen	false	bpq	npf	online	0	1.7212 ± 0.0971
randomT	false	bpq	ob	blank	1	1.7219 ± 0.1316
mix_gen	online	bpq	dedup	offline	1	1.7224 ± 0.1013
mix_gen	false	bpq	hybrid	online	1	1.7244 ± 0.1070
randomT	false	bpq	npf	offline	1	1.7246 ± 0.1564
mix_gen	online	bpq	hybrid	offline	1	1.7261 ± 0.1150
mix_all	false	bpq	hybrid	online	1	1.7294 ± 0.0774
randomT	false	bpq	npf	blank	0	1.7307 ± 0.1485
mix_gen	online	bpq	dedup	blank	1	1.7311 ± 0.1084
mix_all	false	bpq	dedup	offline	1	1.7320 ± 0.2224
mix_gen	online	bpq	npf	offline	1	1.7346 ± 0.1241
randomT	online	bpq	dedup	online	1	1.7348 ± 0.0878
randomT	online	bpq	dedup	offline	1	1.7358 ± 0.0992
randomT	false	bpq	npf	online	0	1.7388 ± 0.1750
mix_gen	online	bpq	npf	online	1	1.7392 ± 0.1079
mix_gen	online	bpq	npf	blank	0	1.7401 ± 0.1051
randomT	online	bpq	dedup	blank	1	1.7418 ± 0.0740
randomT	online	bpq	ob	offline	1	1.7430 ± 0.0523
mix_all	online	bpq	npf	offline	1	1.7432 ± 0.1228
randomT	false	bpq	dedup	online	1	1.7433 ± 0.2693
randomT	false	bpq	npf	offline	0	1.7438 ± 0.1477
mix_gen	online	bpq	hybrid	blank	1	1.7463 ± 0.1211
mix_all	online	bpq	hybrid	online	1	1.7465 ± 0.0960
mix_all	false	bpq	npf	blank	0	1.7465 ± 0.0949
mix_all	online	bpq	ob	blank	1	1.7497 ± 0.1163
mix_gen	online	bpq	npf	offline	0	1.7510 ± 0.0576
mix_all	online	bpq	ob	online	1	1.7530 ± 0.0787
mix_gen	online	bpq	hybrid	online	1	1.7559 ± 0.1248
mix_gen	online	bpq	ob	online	1	1.7642 ± 0.0970
mix_gen	online	bpq	ob	blank	1	1.7647 ± 0.1105
mix_all	online	bpq	hybrid	blank	1	1.7678 ± 0.0995
mix_all	online	bpq	hybrid	offline	1	1.7682 ± 0.1003
mix_all	false	bpq	ob	offline	0	1.7696 ± 0.0466
mix_all	online	bpq	npf	blank	0	1.7834 ± 0.1461
randomT	online	bpq	npf	online	1	1.7838 ± 0.2770
mix_all	false	bpq	ob	online	0	1.7927 ± 0.0676
randomT	false	bpq	dedup	offline	1	1.7954 ± 0.3343
randomT	false	bpq	ob	online	0	1.7989 ± 0.0485
randomT	online	bpq	npf	offline	1	1.7993 ± 0.3510
mix_all	false	bpq	ob	blank	0	1.8009 ± 0.0490
mix_gen	false	bpq	ob	blank	0	1.8019 ± 0.0498
mix_gen	online	bpq	npf	online	0	1.8030 ± 0.1180
randomT	false	bpq	ob	blank	0	1.8039 ± 0.0745
mix_gen	false	bpq	ob	online	0	1.8059 ± 0.0244
randomT	false	bpq	ob	offline	0	1.8276 ± 0.0856
mix_gen	online	bpq	ob	offline	1	1.8339 ± 0.1231
mix_gen	false	bpq	ob	offline	0	1.8445 ± 0.0757
randomT	online	bpq	ob	online	1	1.8670 ± 0.0893
mix_all	online	bpq	ob	offline	0	1.8764 ± 0.1074
randomT	online	bpq	ob	offline	0	1.8773 ± 0.0689
