pscase_type	pscase_mode	frontier	countmin_search	countmin_mode	BF_steps	runtime
mix_all	online	bpq	npf	online	3	0.6823 ± 0.0257
randomG	online	bpq	dedup	online	3	0.6825 ± 0.0197
randomG	online	bpq	dedup	offline	3	0.6829 ± 0.0350
mix_all	online	bpq	dedup	offline	3	0.6830 ± 0.0251
randomG	false	bpq	hybrid	blank	3	0.6831 ± 0.0323
mix_all	online	bpq	npf	online	2	0.6836 ± 0.0299
mix_all	online	bpq	hybrid	offline	3	0.6837 ± 0.0252
mix_all	online	bpq	dedup	online	2	0.6843 ± 0.0206
mix_gen	false	bpq	npf	online	2	0.6843 ± 0.0389
mix_all	false	bpq	hybrid	offline	2	0.6844 ± 0.0450
randomG	online	bpq	ob	offline	2	0.6846 ± 0.0090
mix_all	online	bpq	npf	blank	2	0.6849 ± 0.0306
randomG	online	bpq	npf	offline	2	0.6851 ± 0.0240
randomG	online	bpq	ob	offline	3	0.6852 ± 0.0256
mix_all	online	bpq	dedup	blank	2	0.6857 ± 0.0265
randomG	online	bpq	npf	blank	3	0.6863 ± 0.0206
randomG	online	bpq	dedup	blank	3	0.6867 ± 0.0246
mix_gen	online	bpq	dedup	online	2	0.6872 ± 0.0226
randomG	online	bpq	hybrid	offline	2	0.6877 ± 0.0314
mix_gen	online	bpq	ob	online	3	0.6879 ± 0.0259
randomG	online	bpq	ob	online	2	0.6890 ± 0.0181
mix_gen	online	bpq	ob	offline	3	0.6895 ± 0.0299
mix_all	online	bpq	ob	offline	2	0.6905 ± 0.0258
mix_gen	online	bpq	ob	online	2	0.6905 ± 0.0243
mix_gen	online	bpq	dedup	offline	3	0.6906 ± 0.0427
randomG	online	bpq	npf	online	3	0.6930 ± 0.0290
randomG	online	bpq	hybrid	online	2	0.6932 ± 0.0245
mix_gen	online	bpq	hybrid	online	2	0.6942 ± 0.0408
randomG	online	bpq	npf	blank	2	0.6948 ± 0.0210
mix_all	online	bpq	npf	blank	3	0.6953 ± 0.0515
mix_gen	online	bpq	ob	blank	3	0.6975 ± 0.0506
randomG	online	bpq	ob	blank	2	0.6983 ± 0.0296
randomG	online	bpq	dedup	online	2	0.6989 ± 0.0292
mix_all	false	bpq	npf	offline	2	0.7017 ± 0.0956
mix_gen	online	bpq	npf	blank	3	0.7039 ± 0.0312
mix_all	online	bpq	dedup	offline	2	0.7041 ± 0.0626
mix_gen	online	bpq	dedup	offline	2	0.7078 ± 0.0805
mix_all	online	bpq	hybrid	offline	2	0.7102 ± 0.0374
mix_gen	online	bpq	hybrid	online	3	0.7107 ± 0.0528
mix_gen	online	bpq	dedup	blank	3	0.7209 ± 0.0337
randomG	false	bpq	false	false	0	0.7303 ± 0.0238
mix_gen	online	bpq	hybrid	blank	3	0.7315 ± 0.0646
mix_gen	online	bpq	hybrid	blank	2	0.7342 ± 0.0634
randomG	online	bpq	npf	online	2	0.7440 ± 0.1476
mix_all	online	bpq	dedup	online	3	0.7610 ± 0.1214
mix_gen	online	bpq	npf	blank	2	0.7647 ± 0.1528
mix_all	online	bpq	npf	offline	3	0.7910 ± 0.1783
mix_all	online	bpq	npf	offline	2	0.7935 ± 0.1582
randomG	false	bpq	ob	offline	1	0.8693 ± 0.0096
mix_all	false	bpq	dedup	offline	1	0.8738 ± 0.0069
mix_all	false	bpq	ob	offline	1	0.8741 ± 0.0123
mix_all	false	bpq	hybrid	blank	1	0.8767 ± 0.0070
randomG	false	bpq	npf	offline	1	0.8797 ± 0.0109
mix_all	false	bpq	npf	offline	1	0.8813 ± 0.0292
mix_all	false	bpq	hybrid	online	1	0.8821 ± 0.0199
mix_gen	online	bpq	hybrid	offline	1	0.8827 ± 0.0137
randomG	false	bpq	hybrid	offline	1	0.8829 ± 0.0251
randomG	online	bpq	dedup	offline	1	0.8835 ± 0.0186
mix_gen	false	bpq	hybrid	offline	1	0.8838 ± 0.0256
